strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi20_cd24_sl3_tp20,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl3_tp10,-0.0171,-38.0973,3,33.33,1.5834,-0.0206,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl3_tp10,-0.0171,-38.0973,3,33.33,1.5834,-0.0206,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl3_tp10,-0.0171,-38.0973,3,33.33,1.5834,-0.0206,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl5_tp0,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl5_tp15,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl5_tp20,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl5_tp0,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl5_tp15,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl5_tp20,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl5_tp0,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl5_tp15,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl5_tp20,-0.1395,-38.0973,3,33.33,1.7322,-0.2494,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
