strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi20_cd6_sl5_tp20,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl3_tp10,-0.4651,-34.5747,9,33.33,2.1357,-0.6948,6,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl3_tp10,-0.4651,-34.5747,9,33.33,2.1357,-0.6948,6,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl3_tp10,-0.4651,-34.5747,9,33.33,2.1357,-0.6948,6,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl3_tp0,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl3_tp15,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl3_tp20,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl3_tp0,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl3_tp15,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl3_tp20,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl3_tp0,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl3_tp15,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl3_tp20,-0.4733,-34.5747,9,33.33,2.1357,-0.707,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl8_tp0,-0.8501,-34.5747,6,66.67,2.8205,-0.757,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl8_tp10,-0.8501,-34.5747,6,66.67,2.8205,-0.757,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl8_tp15,-0.8501,-34.5747,6,66.67,2.8205,-0.757,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl8_tp20,-0.8501,-34.5747,6,66.67,2.8205,-0.757,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
